Integration Type,Language,Sentiment,Categories,Text
eetnu,nld,-1,experience,"Eten was lekker maar veel te weinig vergeleken met de prijs. Hoofdgerechten worden geserveerd op koude borden en is meer een portie voor kinderen dan voor volwassenen.Prijzen zijn veel te hoog voor de kleine gerechten die je geserveerd krijgt, wij zijn allemaal met honger weggegaan. Restaurant is niet aan te raden! "
resengo,nld,-1,service,Super
zomato,eng,1,food,OMG this place is really very good awesome there food is so delicious can't explained in words Desert gulab jamun OMG mind blowing that was Already try once if you got time
zomato,eng,1,food,"I am surprised the reviews on Zomato are low, it's easily a 4+ restaurant. They have a very interesting type Indian food in tapas style with a modern twist. The portion sizes are small as with tapas. The presentation is nice and the food tasted good. I have been a few times to the place and always left happy."
zomato,por,-1,experience,"Talvez pelas expectativas serem tão altas, que nos foram tão defraudadas. Jantamos num sábado à noite, e o ambiente era maioritariamente preenchido por estrangeiros. A carta oferece uma variedade razoável de pratos portugueses e espanhóis, e é para partilhar. Pedimos a tortilha, que veio ao ponto, ou seja, pouco “cuajada”, mas as batatas estavam duras e a tortilha fria e sem tempero. Depois veio o bacalhau à Brás, igualmente frio e sem tempero, onde o bacalhau nem se via... A seguir veio o polvo, tenro, mas mais uma vez, frio e quase sem tempero. A sobremesa foi uma experiência positiva, e embora não sentíssemos que torrão de amêndoa combinasse com o gelado de limão bastante ácido, gostamos dos sabores separadamente.  Não é para repetir porque não nos surpreendeu em nada e em nenhum prato houve o factor “Uau” que nos fizesse querer voltar para experimentar o resto da carta!  Quanto ao ambiente não achamos acolhedor. Parece que montaram o restaurante no rés-do-chão de um prédio dos anos 60 e aproveitaram o chão e o revestimento das paredes, onde nada combina com nada em termos de materiais. No entanto, damos mais valor à experiência sensorial da comida, e essa, como já referi foi sofrível."
zomato,por,1,experience;consistency;service;value;food,Hambúrguer é sempre bom. Confesso já ter tido uma experiência ruim com o serviço mas em geral não deixa nada a desejar. Bons hambúrgueres e um espaço justo. Preços também. Vale a pena pedir o de carne dupla (se quiser sair da linha)
zomato,por,1,experience;consistency;service;convenience;value,"Sou fã da hamburgueria do bairro! Sempre achei que conseguiam apresentar uma qualidade de hambúrgueres superior à média, apesar dos preços baixos e espaços por vezes reduzidos.  A de São Bento não é excepção, atendimento rápido e simpático, hambúrgueres bem confeccionados e localização conveniente.  Os hambúrgueres com a melhor relação qualidade preço de Lisboa para mim!"
zomato,por,1,value;consistency,"(3.5) Se apetece um bom hambúrguer mas não apetece pagar preços de haute cuisine, a Hamburgueria do Bairro está aí para ajudar. Desde há anos a servir 160 gr brutos de boa carne, batatas bem fritas e maionese de alho viciante, o passar do tempo e a expansão da rede fez dela parte da paisagem nos bairros de Lisboa, um hábito de muitos e talvez por isso menos especial. Mas é de ressalvar a consistência e confiança que mantém: quando tantos tentaram e falharam nesta história dos hamburgueres artesanais xpto, aqui é sempre garantido o almoço rápido e saboroso, o jantar prático e guloso."
zomato,por,1,experience;reputation;value,Excelente comida o prego de choco frito estava excelente. Cuidado na apresentação de todos os pratos que experimentei. Espaco muito agradável elegantes mas descontraído. Atendimento atencioso e simpático. A repetir a experiencia sem dúvida.
zomato,por,1,experience;service;food,"Sempre que apetece um bom hamburguer, é o sítio a visitar! Nunca me arrependo, seja sem pão, com batata frita doce ou normal, o sabor é sempre divinal, guloso e diferente. O espaço é pequeno mas faz parte do 'charme' do sítio. :-)  Recomendo pelo serviço rápido e pela simpatia de todos os que lá trabalham."
